"scenario","time","state","rate","parameter_a","parameter_b","parameter_c","method","warning"
"logistic_growth",0,10,5.4,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.05,10.27,5.5291626,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.1,10.54645813,5.66050820347294,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.15,10.8294835401736,5.79402384162284,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.2,11.1191847322548,5.92969322469282,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.25,11.4156693934894,6.06749658988495,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.3,11.7190442229837,6.20741054878872,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.35,12.0294147504231,6.34940793482768,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.4,12.3468851471645,6.49345765127507,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.45,12.6715580297283,6.63952452043233,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.5,13.0035342557499,6.78756913460716,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.55,13.3429127124802,6.93754770957094,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.6,13.6897900979588,7.08941194121824,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.65,14.0442606950197,7.24310886619376,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.7,14.4064161383294,7.39858072729332,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.75,14.776345174694,7.5557648444862,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.8,15.1541334169184,7.71459349244444,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.85,15.5398630915406,7.87499378550139,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
"logistic_growth",0.9,15.9336127808156,8.03688757099556,0.6,100,0,"explicit_euler","Logistic growth assumes a fixed carrying capacity and smooth density limitation."
